Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,11778.28627450981,11638.909803921575,14126.88235294119,12987.30588235295,13327.780392156874,13984.121568627463,14104.501960784328
water_to_trees,3232.4588235294123,580.1019607843136,979.8549019607843,1763.850980392157,118.05490196078432,2715.733333333334,197.41960784313727
water_to_grass,238.04705882352943,59.71764705882353,101.51372549019608,25.968627450980392,30.0,161.30980392156863,29.0
water_to_flooded_vegetation,144.32941176470587,0.0,5.0,14.725490196078432,4.36078431372549,5.8,8.509803921568627
water_to_crops,572.6823529411766,73.43137254901961,195.11764705882354,89.95686274509804,76.44313725490196,155.75686274509803,32.0
water_to_shrub_and_scrub,75.10588235294118,18.84313725490196,37.45490196078431,5.0,2.0,78.76862745098039,2.1647058823529415
water_to_built,14.0,43.0,16.0,14.0,3.0,23.0,11.0
water_to_bare_soil,51.84313725490196,6.0,16.0,9.0,5.0,19.0,0.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,491.80784313725485,3041.6078431372553,673.6156862745097,304.02745098039213,3365.380392156864,262.5450980392157,4061.062745098039
trees_to_trees,71585.7686274505,70570.25882352894,78413.41568627389,76013.51764705821,95047.74117646985,93352.87450980327,98571.4509803914
trees_to_grass,3188.2745098039204,371.00784313725484,1432.9764705882349,1981.639215686275,738.1098039215686,6283.964705882359,1656.3725490196075
trees_to_flooded_vegetation,35.129411764705885,3.0,4.0,0.0,14.0,0.0,2.109803921568627
trees_to_crops,21070.13333333317,4212.619607843143,12978.643137254885,8231.396078431404,6703.792156862773,12155.62745098042,2966.686274509808
trees_to_shrub_and_scrub,14520.305882352952,1246.298039215686,13339.007843137275,1509.6235294117646,4046.9450980392157,25635.345098039226,3237.3450980392154
trees_to_built,1223.8470588235289,125.72941176470589,603.1921568627452,188.77647058823533,362.3843137254901,739.250980392157,349.58823529411757
trees_to_bare_soil,147.39607843137256,1.0,2.0,0.0,43.0,10.105882352941178,0.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
